id,spharm1,spharm2,spharm3,spharm4,spharm5,spharm6,spharm7,spharm8,
18,-1.821328625445997E7,-69293.36017707449,137201.51810146568,71574.88491985746,1.5855398872074768E8,2236.5847399455756,26338.23973791007,1379.8474792215197,
19,-7.92176015579326E7,12537.724564758082,46423.780268550094,-27955.635523799356,4.1955013302076286E8,-167578.3035416013,190839.36015957076,-61667.793415803324,
20,-4.068419975106906E8,-6213.687108742308,725070.0329329749,-107115.58871171452,2.043525739191676E9,1821801.3744910988,3770.178389177093,398453.8037409321,
21,1552633.4813362907,1.2317572737208059E7,141157.47361791582,-509121.44287717144,-6.538757562013765E7,889993.5091335219,1891.4021550318716,-1173593.2814163475,
22,-3728147.461485997,-2.149449368814293E7,7130.148986905073,-472344.20529525226,-7466683.698305756,854601.0416139765,8330.596267598212,2216074.247021927,
23,2.6299219788510438E7,-7439.568951718738,-25515.92638442229,1094854.025113652,-1577752.6973284802,4908.7725206562445,-926562.6930421664,2316509.197487121,
24,-1.8149875369978048E7,-2670.687447840609,-3289.9357953765543,8826.733675339314,1.435868639077918E8,-5335.017756772724,49902.42422758117,360143.00809128216,
25,-590236.2047164083,3905.927252816984,-25795.747986858674,-108927.36104506873,-3638353.1252426384,-1362.451671091187,333321.85328171926,150386.7993012512,
26,-1051829.5744491823,1383.7129964365017,1150.6233418737131,-49801.060595250776,1.0114023167496309E7,-2597.2706947132097,-52097.20009808413,91127.05090755658,
27,-4.365764608813909E7,0.0,276230.25363503647,-1201212.5949608157,-1.4513874553300565E8,-2.8596564029038437E7,2035769.0391257785,5.272799852664063E7,
28,4.350918135690675E7,-243200.33636477153,-5909.465969296419,-112046.39054873533,-6.29911069537732E8,128868.26045839937,-388066.33473073534,1749445.1304595051,
29,1.8430082364177927E8,-698619.6755533707,-687179.996307796,-685766.0912761481,-5.666917224294173E8,-3.2698336318473417E7,1044726.7944846202,2.653081749001313E7,
30,-742125.1487256227,-1974581.0244601679,4.6664585750861384E7,-3.824519718361848E7,1.1992225807798069E7,-6282.371775022589,1.9719285273373803E8,1.6057445980081785E9,
31,-1844571.2987144361,3885.817898874411,-49317.75818018673,-183199.5281186902,-1183504.8675333979,1447.1171904387393,-22983.83867673625,299166.63749326655,
32,-1388734.229021172,2301.624861989921,-8157.202655836141,-171972.534878712,-271849.7600063435,-977.2786063213418,-8438.561366604292,311415.2788552112,
33,2119.7496955011156,-256.9279883451693,-6448.416808987429,-99769.1858780889,-280702.2242489603,-910.1827735905814,12551.742024827061,16594.504791133986,
34,4.903408164316002E8,19360.496682121768,-1.569452202819351E7,5182710.28519884,1.3020816543199283E8,-8.935888592039125E8,777607.5273956788,-3652466.265400662,
35,-3.5467855444411033E8,8.551737395556965E7,-3.0089137442923594E7,-8.587249590186507E7,-1.8847257010225372E9,-6.013877312868497E7,6.107561722852517E8,2.618874371113279E9,
36,-3.962713739273564E7,2366.8939100129346,-9415.2891126824,-402457.54659225553,2.806428491093704E8,3.285182126561884E7,-396519.7182919724,-1014298.8095695744,
37,1465162.4510925654,2.3520117480525143E7,19805.539416605818,-1957006.8243839936,3.4384305510510415E8,67568.42969286803,-28114.963971456178,-593733.4943145497,
38,1130784.521154812,110456.92722628225,-7.538425886501243E8,1.6186152302516643E7,2.1300542492413762E8,-5.710037007235738E7,6.868397119087408E7,1.3733981647474463E9,
39,2.3666448932601634E7,170346.26489015028,-5475.672961588652,-159194.22489976915,6559882.703621753,-352262.4985056443,-4238.576299072269,4.0300632875260144E7,
40,-3857262.6148977126,-1412.9992002751649,16507.14035816486,7539.005029600582,-1319433.4481330952,-702.7159964104302,1440.0557177524488,-49923.00609766428,
41,6993553.747439742,384352.7052303965,-192.9573148283244,-52669.20992497195,-7.470095482515936E7,346.06001194163093,1971.577895590485,46721.80486114827,
42,1.729087092092012E8,-39437.74565049048,-3907.3739475158536,505242.10993020673,5.350924598379351E8,3267586.002944433,-27794.59070906714,3593490.9697985593,
43,-4.259879923413364E7,-1641556.8697081576,188165.31837817768,-1199485.8233626448,-1.3507434899150442E7,15166.137326435299,-83974.67647571182,54850.982757237995,
44,2.7045459705893636E7,-4329.165121401267,36445.77716132751,22043.47825193369,-6.631323114626485E7,8433.883500621603,-1372.3656522637714,2004856.1837040156,
45,-187663.24227327335,-150475.74935505458,-94820.49953664992,-2241511.948976617,1.1280166338457538E7,89820.05915489898,-186664.79433560834,482046.07588317466,
46,-2.4837729984194767E7,12164.037813244624,13647.125307861901,-83244.36740445839,7.99505260809864E8,-603.7336983584191,23783.208066695937,469916.27973643766,
47,-1.4991669048021907E8,-126.61772143679903,-161049.38945891152,-1280130.713825472,6.512705316995451E8,-204433.3372173999,-17118.085467562465,-209331.85178124515,
48,-77750.46553055116,223729.56457800054,116829.5737501195,-1311487.800669445,5.464417472449696E7,158073.9073095443,651.4940768835116,-388686.35045361787,
49,-1.369823704927363E8,295.72527651201756,77110.19202963133,-1696352.3785889258,-2.9851774407254033E7,-521928.57775652467,8741.519093735124,716665.641932447,
50,-3.758484459927656E7,6993.55358593523,82972.30953170994,-372709.0755369886,9.850546108383373E8,-195679.9652371297,-35566.20235584626,-412166.8144599514,
51,4.194091335302556E7,1461883.7576068037,-129902.87755134064,-744389.7365342537,-1.0746547352645893E8,61825.02679598221,20610.983010178774,-171322.353650768,
52,-1.9469819415843648E8,533.5620420432662,10788.99530076408,-1073030.6052781036,-2.7140502188508505E8,3708700.60207807,1.4198118841841355E7,-275127.2354804809,
53,-3.948350272739767E7,-3736.6097653988973,78826.02898866686,171353.86812579175,-2.190398176420553E8,3.0427444848567087E7,3626833.9070734056,144591.1261003738,
54,-2292907.919389582,-59047.06712283338,49436.19563379661,-20613.50607447526,-2.6642863647316468E8,1031841.5767444734,1268.8076131701584,-188947.24373150629,
55,-7414898.294844316,115.23415826390233,62220.979170252904,85292.75131572949,3.1426532077643454E8,-399706.46686712187,-38380.561507082115,47000.96569270674,
56,1580.1462434291448,-1241.4908783566339,-3254.3268143412624,218.99920793455368,80667.710098149,-1493.6636837071737,5639.1444238117,-11012.060469697979,
57,3.445162734782234E7,391.964478388177,-2175285.5331730796,2.0307665821096204E7,2.9373682242066646E9,2.3408113726644132E8,10760.15047143591,-3070797.4390832605,
58,-2.7210901401159495E8,-1068.1545516442447,21.995017306790544,-10062.807920375319,-4.761769343328534E7,55822.63717243996,7144.521831883727,187004.63617054783,
59,8825253.20337924,-952.2623644429927,1500.4131769164205,631095.6817564487,-8.14363863924722E8,-3218370.8056756505,116858.25278335337,260048.811686737,
