id,edl1,edl2,edl3,edl4,edl5,edl6,edl7,edl8
134,48.0,0.0,93.0,0.0,95.9,0.0,172.0,0.0
135,0.0,0.0,11.100000000000001,0.0,0.0,0.0,362.6,3.6999999999999997
136,0.0,0.0,11.100000000000001,0.0,0.0,0.0,362.6,3.6999999999999997
137,0.0,0.0,0.0,0.0,0.0,0.0,395.19999999999993,0.0
138,0.0,0.0,15.799999999999999,0.0,8.1,0.0,209.1,0.0
139,14.2,0.0,97.3,0.8,37.5,0.0,151.8,5.2
140,0.0,0.0,0.0,0.0,40.7,0.0,175.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,244.99999999999997,0.0
142,0.0,0.0,2.0,0.0,83.6,0.0,268.8,0.0
143,0.0,0.0,384.59999999999997,0.0,0.0,0.0,47.1,0.0
144,0.0,0.0,120.19999999999999,0.8,0.0,0.0,271.6,6.800000000000001
145,0.0,0.0,91.2,0.0,0.0,0.0,279.2,0.0
146,0.0,0.0,11.4,0.0,52.4,0.0,206.4,5.2
147,1.8,0.0,50.3,1.8,17.3,0.0,176.20000000000002,9.7
148,0.0,0.0,46.1,0.0,5.4,0.0,242.29999999999998,0.0
149,0.0,0.0,0.0,0.0,163.79999999999998,0.0,213.90000000000003,0.9
150,0.0,0.0,207.6,0.0,0.0,0.0,204.0,0.0
151,0.0,0.0,0.0,0.0,88.6,0.0,318.8,0.0
152,36.7,0.0,183.69999999999996,0.0,22.400000000000002,0.0,157.7,0.0
153,0.0,0.0,75.2,0.0,8.1,0.0,292.9,0.0
154,124.70000000000002,1.0,124.3,0.0,45.9,0.0,56.2,0.0
155,12.7,0.0,101.8,0.0,38.0,0.0,211.79999999999998,0.0
156,12.7,0.0,101.8,0.0,38.0,0.0,211.79999999999998,0.0
157,0.0,0.0,55.9,0.0,26.799999999999997,0.0,175.1,0.0
158,0.0,0.0,0.0,0.0,67.9,0.0,286.0,0.0
159,3.6,0.0,165.89999999999998,0.0,4.5,0.0,173.0,0.0
160,31.700000000000003,0.0,170.0,0.0,5.9,0.0,129.4,0.0
161,6.7,0.0,246.7,0.0,0.0,0.0,19.7,0.0
162,0.0,0.0,0.0,0.0,21.400000000000002,0.0,285.4,0.0
163,0.0,0.0,190.5,0.0,0.0,0.0,99.4,0.0
164,0.0,0.0,116.60000000000001,0.0,0.0,0.0,193.3,0.0
165,26.0,0.0,277.59999999999997,5.3,0.0,0.0,23.0,0.0
166,25.3,0.0,55.0,0.0,99.8,0.0,207.8,0.0
167,16.700000000000003,0.0,134.1,1.6,18.4,0.0,144.6,5.2
168,16.700000000000003,0.0,134.1,1.6,18.4,0.0,144.6,5.2
169,0.0,0.0,51.2,0.0,0.0,0.0,232.2,0.0
